movie_imdb_id,genre_id
tt0000015,1
tt0000029,1
tt0000034,1
tt0000035,1
tt0000012,2
tt0000021,2
tt0000027,2
tt0000028,2
tt0000038,2
tt0000041,2
tt0000042,2
tt0000050,2
tt0000010,3
tt0000030,3
tt0000033,3
tt0000048,3
tt0000049,3
tt0000018,4
tt0000020,4
tt0000022,4
tt0000032,4
tt0000044,4
tt0000045,4
tt0000049,4
tt0000017,5
tt0000024,5
tt0000025,5
tt0000036,5
tt0000046,5
tt0000047,5
tt0000011,6
tt0000016,6
tt0000019,7
tt0000037,7
tt0000039,7
tt0000048,7
tt0000014,8
tt0000023,8
tt0000040,8
tt0000043,8
tt0000026,9
tt0000031,9
tt0000013,10
tt0000050,10
