movie_imdb_id,country_id
tt0000039,1
tt0000012,2
tt0000022,2
tt0000024,2
tt0000032,2
tt0000035,2
tt0000001,3
tt0000002,3
tt0000015,3
tt0000020,3
tt0000036,3
tt0000037,3
tt0000050,3
tt0000006,4
tt0000007,4
tt0000009,4
tt0000019,4
tt0000013,5
tt0000040,5
tt0000030,6
tt0000014,7
tt0000018,7
tt0000011,8
tt0000020,8
tt0000027,8
tt0000041,8
tt0000046,8
tt0000048,8
tt0000049,8
tt0000017,9
tt0000025,9
tt0000028,9
tt0000033,9
tt0000038,9
tt0000008,10
tt0000011,10
tt0000042,11
tt0000021,12
tt0000029,12
tt0000010,13
tt0000007,14
tt0000044,14
tt0000031,15
tt0000041,15
tt0000003,17
tt0000023,17
tt0000016,18
tt0000026,18
tt0000034,18
tt0000002,19
tt0000005,19
tt0000030,19
tt0000042,19
tt0000045,19
tt0000047,19
tt0000004,20
tt0000043,20
